country,cases
Russian Federation,1209742
United States,1034013
Japan,806902
France,329127
Ukraine,319950
Germany,291262
Republic of Korea,261730
Brazil,226613
Poland,139098
United Kingdom,136805
Italy,132060
Mexico,111139
Thailand,110643
Canada,107561
Kazakhstan,101546
Spain,100202
Argentina,82219
Hungary,73891
Romania,72777
Australia,70111
Belgium,62761
Belarus,59892
Sri Lanka,55641
Colombia,53080
Netherlands,50833
Austria,50073
Czech Republic,43687
Cuba,41418
Chile,40895
Sweden,37795
Bulgaria,36388
Uzbekistan,34803
Finland,33677
Lithuania,28039
Switzerland,26217
Serbia,24179
Portugal,24061
Philippines,21330
Ecuador,20660
Croatia,18429
Norway,16992
Denmark,15297
New Zealand,14383
Slovakia,13437
Uruguay,13138
Kyrgyzstan,13090
Latvia,12770
Ireland,12574
Greece,12368
El Salvador,11683
Israel,11294
Slovenia,10615
Turkey,10131
Singapore,10089
Puerto Rico,9043
Turkmenistan,8624
Guatemala,8149
South Africa,7321
Estonia,7034
Costa Rica,6792
Paraguay,4783
Trinidad and Tobago,4039
Mauritius,3894
Panama,3483
Guyana,3426
Georgia,3224
Suriname,2166
Nicaragua,2013
Albania,1970
Luxembourg,1958
Armenia,1905
Azerbaijan,1656
Iceland,1108
Kuwait,966
United Arab Emirates,622
Malta,585
Qatar,574
Montenegro,472
Bahrain,463
Mongolia,423
Cyprus,412
Belize,348
Bosnia and Herzegovina,318
Fiji,304
Saint Lucia,230
Jamaica,184
Barbados,177
Saint Vincent and Grenadines,124
Aruba,101
Seychelles,98
Bahamas,93
Kiribati,53
Cabo Verde,42
Grenada,38
Oman,33
Macau,27
Maldives,20
Antigua and Barbuda,11
San Marino,4
Dominica,0
Saint Kitts and Nevis,0
